jurisdiction,week,first_dose_m,second_dose_m,all_doses_m,cumulative_doses_m,first_dose_p,second_dose_p,all_doses_p,cumulative_doses_p,first_dose_both,second_dose_both,all_doses_both,cumulative_doses_both
alabama,01/04/2021,29000,29000,58000,284800,29250,29250,58500,193050,58250,58250,116500,477850
alabama,01/11/2021,29100,29100,58200,343000,29250,29250,58500,251550,58350,58350,116700,594550
alabama,01/18/2021,30600,30600,61200,404200,30225,30225,60450,312000,60825,60825,121650,716200
alabama,01/25/2021,30600,30600,61200,465400,30225,30225,60450,372450,60825,60825,121650,837850
alabama,02/01/2021,40400,40400,80800,546200,30225,30225,60450,432900,70625,70625,141250,979100
alabama,02/08/2021,44100,44100,88200,634400,30225,30225,60450,493350,74325,74325,148650,1127750
alabama,02/15/2021,47700,47700,95400,729800,30225,30225,60450,553800,77925,77925,155850,1283600
alabama,02/22/2021,47700,47700,95400,825200,47970,47970,95940,649740,95670,95670,191340,1474940
alabama,03/01/2021,47700,47700,95400,920600,54990,54990,109980,759720,102690,102690,205380,1680320
alabama,03/08/2021,47700,47700,95400,1016000,60840,60840,121680,881400,108540,108540,217080,1897400
alabama,03/15/2021,47700,47700,95400,1111400,65520,65520,131040,1012440,113220,113220,226440,2123840
alabama,03/22/2021,47700,47700,95400,1206800,66690,66690,133380,1145820,114390,114390,228780,2352620
alabama,03/29/2021,47700,47700,95400,1302200,80730,80730,161460,1307280,128430,128430,256860,2609480
alabama,12/21/2020,84300,84300,168600,168600,29250,29250,58500,58500,113550,113550,227100,227100
alabama,12/28/2020,29100,29100,58200,226800,38025,38025,76050,134550,67125,67125,134250,361350
alaska,01/04/2021,25600,25600,51200,104800,27300,27300,54600,54600,52900,52900,105800,159400
alaska,01/11/2021,0,0,0,104800,0,0,0,54600,0,0,0,159400
alaska,01/18/2021,0,0,0,104800,0,0,0,54600,0,0,0,159400
alaska,01/25/2021,0,0,0,104800,0,0,0,54600,0,0,0,159400
alaska,02/01/2021,32300,32300,64600,169400,27300,27300,54600,109200,59600,59600,119200,278600
alaska,02/08/2021,0,0,0,169400,0,0,0,109200,0,0,0,278600
alaska,02/15/2021,0,0,0,169400,0,0,0,109200,0,0,0,278600
alaska,02/22/2021,0,0,0,169400,0,0,0,109200,0,0,0,278600
alaska,03/01/2021,49300,49300,98600,268000,53820,53820,107640,216840,103120,103120,206240,484840
alaska,03/08/2021,0,0,0,268000,0,0,0,216840,0,0,0,484840
alaska,03/15/2021,0,0,0,268000,0,0,0,216840,0,0,0,484840
alaska,03/22/2021,0,0,0,268000,0,0,0,216840,0,0,0,484840
alaska,03/29/2021,52500,52500,105000,373000,91260,79560,170820,387660,143760,132060,275820,760660
alaska,12/21/2020,26800,26800,53600,53600,0,0,0,0,26800,26800,53600,53600
alaska,12/28/2020,0,0,0,53600,0,0,0,0,0,0,0,53600
arizona,01/04/2021,41100,41100,82200,403600,41925,41925,83850,274950,83025,83025,166050,678550
arizona,01/11/2021,41300,41300,82600,486200,41925,41925,83850,358800,83225,83225,166450,845000
arizona,01/18/2021,43400,43400,86800,573000,42900,42900,85800,444600,86300,86300,172600,1017600
arizona,01/25/2021,43400,43400,86800,659800,42900,42900,85800,530400,86300,86300,172600,1190200
arizona,02/01/2021,57200,57200,114400,774200,42900,42900,85800,616200,100100,100100,200200,1390400
arizona,02/08/2021,62500,62500,125000,899200,42900,42900,85800,702000,105400,105400,210800,1601200
